ID,タイトル,投稿テキスト,文字数,ステータス,予約日時,投稿日時,圭一郎さん確認,メモ
11,3/28（金）イベント告知 イベント,"【仙台でも開催中🌟】
スターライトヒーリング マラマハワイ
仙台市天文台 特別公演

📅 3月: 14(土), 21(土), 28(土) 20:25〜
📅 4月: 11(土), 18(土), 25(土) 19:40〜
📍 仙台市天文台
⏱ 投映時間 約50分

東北の皆さま、ぜひお越しください

▼ 詳細
https://www.sendai-astro.jp/planetarium/

#スターライトヒーリング #仙台市天文台 #KITAサウンドヒーリング",231,下書き,,,,
12,3/29（土）イベント告知 イベント,"【毎月開催・無料体験会】
ここちよい音の日

4月は18日（土）開催！

📅 4/18(土)
📍 田園調布・長田整形外科
⏰ 11:30〜14:00 自然音・体感音響の体験
⏰ 14:00〜 長田院長 & 喜田理事長のお話

初めての方も大歓迎
お気軽にお越しください

▼ 詳細
https://www.sound-healing.jp/harmonic-day_special_20250612.html

#音のある暮らし #無料体験 #田園調布 #KITAサウンドヒーリング",241,下書き,,,,
13,3/30（日）科学データ・Tips Tips,"都会に住んでいても
自然音は取り入れられます

・朝：窓を開けて鳥の声を聴く
・昼：公園で5分過ごす
・夜：自然音BGMで眠る

小さな工夫で
毎日がちょっと心地よくなります

#都会暮らし #自然音 #セルフケア #KITAサウンドヒーリング",122,下書き,,,,
14,3/31（月）イベント告知 イベント,"【4月のイベント一覧🗓】

4/2-4 食＋音「ここちよい音の日」太陽食品世田谷
4/10-12 ファシリテーター認定研修 第88期
4/12 スターライトヒーリング さいたま
4/11,18,25 スターライトヒーリング仙台
4/16 体験WS 自由が丘lab
4/18 ここちよい音の日 田園調布　無料体験

初めての方には無料体験会がおすすめです

▼ イベント一覧
https://www.sound-healing.jp/

#4月イベント #KITAサウンドヒーリング",240,下書き,,,,
15,X投稿 1-A 基礎知識,"「サウンドヒーリングって怪しくない？」

そう思う方、正直だと思います

でも、川の音を聴いてホッとしたり
雨音で眠くなったり──
それも立派なサウンドヒーリングです

私たちは25年間
学会で研究発表を重ねながら
音の可能性を探求してきました

「怪しい」が「気になる」に変わったら
嬉しいです

#KITAサウンドヒーリング #サウンドヒーリング",175,下書き,,,,
16,X投稿 1-B（別バージョン） 基礎知識,"サウンドヒーリングとは
「音」を使って心と体のバランスを整えること

特別なことではありません

・日本温泉気候物理医学会
・日本抗加齢医学会
・国際生命情報科学会

など複数の学会で研究発表を行っています

2001年設立、25年目
気持ちいいを科学の言葉でも説明できる──
それが私たちの強みです

#KITAサウンドヒーリング #学会発表",172,下書き,,,,
17,X投稿 2-A 基礎知識,"「自然音ならYouTubeにもあるよね？」

はい、あります
でも、違いは「録り方」にあります

代表の喜田圭一郎は30年以上
ハワイ、屋久島、沖縄、白神山地で
自然音を収録してきました

ただマイクを置くのではなく
その場所の空気感ごとまるごと録る

収録する時の「心」も大切にしています

#KITAサウンドヒーリング #自然音 #こだわり",172,下書き,,,,
18,X投稿 2-B（別バージョン） 基礎知識,"自然音の聴き方、3つだけ

🔊 スピーカーでここちよい音量で
🔄 BGMとして流しっぱなしに
🎧 イヤホンよりスピーカーがおすすめ

「効く・効かない」ではなく
「心地いいかどうか」が大切です

まずは今夜、寝る前に
試してみませんか？

#KITAサウンドヒーリング #自然音 #聴き方",144,下書き,,,,
19,X投稿 3-A 基礎知識,"「体感音響」って聞いたことありますか？

人の体の約70%は水分
音の振動は水中を空気の約4倍の速さで伝わります

つまり、体全体が「耳」

体感音響（Kita Biosonic Peace Machine）は
専用クッションを体にあてて
全身で音を浴びる体験です

百聞は一「体感」にしかず

#KITAサウンドヒーリング #体感音響 #KitaBiosonicPeaceMachine",194,下書き,,,,
20,X投稿 3-B（別バージョン） 基礎知識,"体感音響を体験された方の声：

「言葉では説明しにくいけど
体験するとわかる心地よさ」

「気づいたら眠っていた」

「体の奥がじんわりほぐれる感じ」

音を「耳」ではなく「体」で聴く
毎月の無料体験会で
試していただけます

#KITAサウンドヒーリング #体感音響 #体験者の声",141,下書き,,,,
21,X投稿 4-A 基礎知識,"毎月、整形外科で
音の無料体験会を開催しています

「えっ、整形外科で？」

田園調布の長田整形外科は
「総合予防医療クリニック」を掲げ
病気にならない体づくりに
取り組んでいます

その一つの方法として音に注目
予約不要・参加無料

「ここちよい音の日」
毎月第3土曜日に開催中

#KITAサウンドヒーリング #音のある暮らし #予防医療",171,下書き,,,,
22,X投稿 4-B（別バージョン） 基礎知識,"「病気になってから治す」のではなく
「病気にならない体をつくる」

東洋医学の「未病」の考え方です

長田整形外科の長田夏哉院長と
サウンドヒーリング協会は
この考えに基づいて連携しています

毎月の無料体験会
「ここちよい音の日」では
自然音・体感音響の体験＋
お二人のトークも

#KITAサウンドヒーリング #未病 #音のある暮らし",169,下書き,,,,
23,X投稿 5-A 基礎知識,"「1/fゆらぎ」ってご存知ですか？

🌊 波の音
🔥 ろうそくの炎
💓 心臓の鼓動

自然界のここちよいものには
「規則的」と「不規則」の
ちょうど間にあるリズムが
含まれていると言われています

完璧に規則的だと退屈で
完全にランダムだと不安になる

その「ちょうどいい」が
1/fゆらぎです

#KITAサウンドヒーリング #1fゆらぎ #自然のリズム",178,下書き,,,,
24,X投稿 5-B（別バージョン） 基礎知識,"音が心と体に与える影響──

私たちはこれを「なんとなく」ではなく
科学的に探求しています

📚 国立大学 筑波技術大学との共同研究
📚 複数の学会での研究発表

でも、一番大切なのは
データや論文よりも
あなたの体の感覚

「心地いい」と感じたら
それがあなたにとっての答えです

#KITAサウンドヒーリング #研究 #心地よさ",166,下書き,,,,
25,X投稿 6-A 基礎知識,"サウンドヒーリング協会の
3つの柱をご紹介します

🌿 自然音
世界各地で収録した自然の音
BGMとして日常に取り入れられます

🔊 体感音響
音の振動を全身で感じる体験
専用クッションで体ごと音を浴びます

🧘 呼吸と声
自分の呼吸と声を使った
セルフケアの方法

この3つで
心と体のバランスを整えます

#KITAサウンドヒーリング #3つの柱 #セルフケア",182,下書き,,,,
